Rank,Name,Team,seasons_used,PA,Age,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,adjusted_composite,Percentile
59,Ho-cheol Seo 서호철,Dinos (KBO),2023-2026,1433,29,87.37543463554056,0.05024424223656664,0.16120027871737613,0.09358939771946966,3.7581997367329634,-0.5079210707471292,-1.9467949230348576,-0.9006281442168679,-0.6556031418157474,-0.43450830764272813,-0.5406666526585031,24.358974358974358
60,Hyeong-jun Yoon 윤형준,Dinos (KBO),2023 only,236,29,84.71674765495565,0.042372881,0.245762711,0.133027523,2.6548570914207095,-0.3809005082415517,-1.2764288402902415,0.5953597062109233,0.09901538695027494,-0.6501941854390764,-0.5423547728597193,23.076923076923077
61,Young Woo Ko 고영우,Heroes (KBO),2024 only,290,23,71.71834945791478,0.096551724,0.24482758600000004,0.062992126,2.42914745875,-0.8173247950993001,0.22875263397388024,0.6435693133845698,-0.8204293793755085,-0.8133647864281759,-0.5471802296754967,21.794871794871796
62,Doo-sung Chang 장두성,Giants (KBO),2025-2026,449,26,72.80608289176166,0.06904231594209355,0.2249443201959911,0.03736534440534522,7.9740390276322,-0.9385148429087945,-0.7292143327503086,0.4358577135669132,-1.4072402702001536,1.765266450992339,-0.5855889742043873,20.51282051282051
63,Myeong Jun Ko 고명준,Landers (KBO),2024-2026,1016,23,92.15083745163795,0.054133857834645666,0.21850393688385827,0.15793855981496063,2.2911390033032806,-0.24789874404743067,-1.6354940842215686,0.40190173954719377,0.7367676686373729,-1.3448913477355025,-0.6169773504898547,19.230769230769234
64,Seoung Bin Son 손성빈,Giants (KBO),2023-2026,461,24,66.948133656567,0.0650759214121475,0.1843817785726681,0.1236645075184382,2.8788819371258136,-1.1704608238018641,-0.8849612106134999,-0.24796434811562734,0.001592731329654724,-0.7686335289421186,-0.6293806295338511,17.94871794871795
65,Min-jae Jeon 전민재,Giants (KBO),2024-2026,942,27,82.95425354872698,0.05944798259554141,0.18789808877707007,0.09259094924203821,3.732214726720668,-0.6830378699734412,-1.3583471399022315,-0.2535711958075957,-0.6263097951166917,-0.41786181347672124,-0.629516557421247,16.666666666666664
66,Woo-hyuk Byun 변우혁,Tigers (KBO),2023-2025,566,25,86.83359103278997,0.08657243781978799,0.2985865718568904,0.11830197906537103,2.3145982328143377,-0.44025864523196606,-0.08137629013155889,1.8158383139437553,-0.08954019684913295,-1.1314448653147187,-0.6421648449500724,15.384615384615385
67,Ji Hwan Park 박지환,Landers (KBO),2024 only,249,18,79.81834809756191,0.048192771,0.244979919,0.109649123,6.2813550158399565,-0.5295325319032993,-1.1499257274422963,0.6012244455665579,-0.18506106727868168,0.6917453833581645,-0.6564633778760764,14.102564102564102
68,Jun-won Jang 장준원,Wiz (KBO),2023-2025,258,29,41.699590427802576,0.07751937912403101,0.201550387248062,0.05801479109302326,3.468796959765797,-1.6453011283749834,-0.33240998828277324,0.04957228749227241,-0.8375231837379981,-0.3696876401962423,-0.67428408119577,12.82051282051282
69,Do-yun Lee 이도윤,Eagles (KBO),2023-2026,1247,29,72.68279896782452,0.05292702450441058,0.16118684801042502,0.0691791515477145,5.192462464156301,-1.2410063480694977,-1.7653856337430043,-0.8764886892026088,-1.1760517150697967,0.5317407897934072,-0.6854258279674866,11.538461538461538
70,Min Suk Kim 김민석,Bears (KBO),2023-2026,1074,22,82.12068026311844,0.07076350033705772,0.2281191800651769,0.08786453155027933,5.092979203494851,-0.7424448452316452,-0.8510939528819618,0.616371306267053,-0.7444322247276267,0.4502139497126673,-0.7192383380484626,10.256410256410255
71,Min Park 박민,Tigers (KBO),2025-2026,288,25,50.38375349098578,0.06597222184375001,0.2222222220520833,0.08662732713541667,4.764408429500997,-1.4710655055021171,-0.6987734311457278,0.33169183176547745,-0.5025983415031153,0.13540473589796334,-0.7442006534258335,8.974358974358974
72,Hyeon Joon Kim 김현준,Lions (KBO),2023-2024,684,21,76.34169169426558,0.05994152017543859,0.19444444404385966,0.06978936526461987,5.295871897994795,-0.9213051633008822,-1.228239756793026,-0.09916580197692103,-1.009862345045491,0.5129892041937644,-0.7633685730001717,7.6923076923076925
73,Tae Hyun Jeon 전태현,Heroes (KBO),2025 only,207,19,58.60888044289324,0.09661835699999999,0.285024154,0.027472527999999996,4.261619519009966,-1.028464572883075,0.18248933245580584,1.0058015481068079,-1.0851625015707276,-0.06297675087606942,-0.7914367483694358,6.41025641025641
74,Dong Heon Kim 김동헌,Heroes (KBO),2023-2025,333,20,78.2943247869143,0.07207207117717718,0.2342342338318318,0.05821663774174174,2.4554844206681685,-0.651926701583741,-0.5479875988773725,0.5278849897079861,-0.9427750867242797,-0.8565038852186883,-0.8315231995832167,5.128205128205128
75,Tae-jin Kim 김태진,Heroes (KBO),2023-2025,716,29,56.09701435387932,0.04469273680446928,0.14385474824301675,0.07097290406983241,3.0602540816740205,-1.8290457164009064,-1.9092211317140526,-1.0992578377757363,-1.0003815570250576,-0.7825095250620049,-0.9310280547182372,3.8461538461538463
76,Chan Hyeok Park 박찬혁,Heroes (KBO),2023-2026,315,23,64.25030372858184,0.060317459660317464,0.25714285699682543,0.08425754140634921,1.0992063463492063,-1.088628481173372,-0.9074128224410317,0.8442012653881144,-0.5562197731575698,-1.4094475104746818,-0.9939927060640458,2.564102564102564
77,Hyeong Woo Cho 조형우,Landers (KBO),2023-2026,638,24,59.1295541847913,0.061128525990595615,0.2021943565783699,0.09046600188871473,1.619019990068574,-1.6385152913261767,-1.1530466659849488,0.052003376960328855,-0.6064368957291825,-1.567306019444024,-1.0898087188694325,1.282051282051282
78,Gun Hee Kim 김건희,Heroes (KBO),2024-2026,894,21,76.54425064469348,0.06263982044071588,0.288590603606264,0.1283395597527964,1.8102553479054544,-0.9767572013552237,-1.1938137695102706,1.8605183130076057,0.10966483498392764,-1.6032176570625623,-1.2735747517209717,0.0
