Rank,Name,NameASCII,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,hot_composite
36,Dong Jin Kwon 권동진,Dong Jin Kwon,Wiz (KBO),27.0,217,97.24489350828122,0.105990783,0.276497695,0.112299465,5.419661665963693,0.08616944116537478,0.5240441962843927,1.3184209321094484,-0.28794016370787046,0.5967697643074164,-0.03881231470653911
37,Young Mook Hwang 황영묵,Young Mook Hwang,Eagles (KBO),26.0,131,69.78278119323298,0.106870229,0.152671755,0.099099099,4.776313475653886,-0.8448429915395915,0.5537763757431562,-0.8334159265471123,-0.4901555365749948,0.301761701038572,-0.057851351755163316
38,Seong Ho Cheon 천성호,Seong Ho Cheon,Twins (KBO),28.0,236,92.92558575253558,0.059322033,0.152542372,0.111627907,6.612302633706847,-0.06026245653954554,-1.0537259568758706,-0.8356643335310087,-0.2982277081117075,1.1436566715349925,-0.10144045062002226
39,Ju Hyoung Lee 이주형,Ju Hyoung Lee,Heroes (KBO),25.0,103,89.31451208738426,0.048543689,0.203883495,0.180851063,7.654515580267914,-0.18268401097427645,-1.41811860642603,0.056537420287456924,0.762196396915313,1.6215646341432914,-0.10321972514451722
40,Jae In Shin 신재인,Jae In Shin,Dinos (KBO),19.0,110,60.791625850965595,0.127272727,0.209090909,0.145833333,1.5442282546778363,-1.1496584883229788,1.2435409911295114,0.14703142649879022,0.2257625337246801,-1.1803147479537568,-0.12894598073977395
41,Seong Bin Hwang 황성빈,Seong Bin Hwang,Giants (KBO),28.0,397,88.67437135343827,0.052896725,0.143576826,0.084931507,9.222505083521588,-0.20438587334915348,-1.2709518133057485,-0.9914668442228792,-0.7071877687804718,2.3405680502529904,-0.13771443742854658
42,Sung-ju Moon 문성주,Sung-ju Moon,Twins (KBO),29.0,234,92.8899084883774,0.089743589,0.119658119,0.058536586,1.8278274845727691,-0.06147197662726162,-0.02523852000444124,-1.407124139729836,-1.111529496260853,-1.05026999020671,-0.14101550030265503
43,Ji Hoon Park 박지훈,Ji Hoon Park,Bears (KBO),25.0,268,82.96587168172678,0.089552238,0.164179104,0.061403509,6.289855227223638,-0.39791374569506055,-0.031707686129039764,-0.6334421752989916,-1.0676113273686925,0.995798037088744,-0.14622718071079344
44,Hyeong Woo Cho 조형우,Hyeong Woo Cho,Landers (KBO),24.0,334,90.20077815009408,0.074850299,0.16766467,0.138513514,1.7313988025,-0.1526380802897972,-0.5287486513955802,-0.5728703000353748,0.11363079977087447,-1.094487474875713,-0.1787706294639244
45,Hyung-jun Kim 김형준,Hyung-jun Kim,Dinos (KBO),26.0,317,97.4278048951146,0.091482649,0.309148264,0.18115942,2.15476189625,0.09237044905841554,0.0335553616091629,1.885819797244729,0.7669200936469933,-0.9003538342936982,-0.18342435916686511
