Rank,Name,Team,seasons_used,PA,Age,wRC+,BB%,K%,ISO,Spd,adjusted_composite,Percentile
18,Whee Jip Kim 김휘집,Dinos (KBO),2023-2025,1497,23,106.09543055324197,0.09673627741950568,0.19604965807281227,0.15044759853974618,3.405807157079088,0.3101411996670723,76.62337662337663
19,Jun-su Han 한준수,Tigers (KBO),2023-2026,888,27,107.75148775068092,0.09684684645945946,0.16666666631756755,0.15001727958558556,1.6809078744619532,0.2975833314928428,75.32467532467533
20,In Ho Choi 최인호,Eagles (KBO),2023-2025,551,25,105.87419925592376,0.08711433715789473,0.14882032632849365,0.11449762245916516,4.835093111739955,0.2682829963364299,74.02597402597402
21,Ji-hoon Choi 최지훈,Landers (KBO),2023-2026,1908,28,91.56938682562115,0.0744234794884696,0.12893081719811322,0.11741789380188679,7.293265885469901,0.23287727679067052,72.72727272727273
22,Chan-ui Song 송찬의,Twins (KBO),2025-2026,334,27,121.35464612693256,0.08083832304790418,0.2634730533772455,0.20576610549700597,5.363157835730415,0.1942459864982612,71.42857142857143
23,Jun Jae Jeong 정준재,Landers (KBO),2024-2026,955,23,90.73304917846369,0.09947643928062827,0.18534031353089003,0.07060726920837695,7.52527681110027,0.13552253032788794,70.12987012987013
24,Jae Seok An 안재석,Bears (KBO),2025-2026,299,24,104.83653871496797,0.06354514954180603,0.1772575245986622,0.18443324375250836,5.521698656657092,0.09865528492130382,68.83116883116884
25,Ju Hyoung Lee 이주형,Heroes (KBO),2023-2026,1380,25,105.9014408435651,0.0797101443826087,0.21956521673695653,0.14419591553115943,5.656096495210322,0.09498112449640976,67.53246753246754
26,In Seo Heo 허인서,Eagles (KBO),2026 only,202,22,124.80541640212981,0.094059405,0.297029702,0.212643678,2.1682050176738894,0.08086702440127688,66.23376623376623
27,Eun-won Jung 정은원,Eagles (KBO),2023 only,459,23,76.44425982629129,0.135076252,0.15904139399999997,0.046391753,3.2446050314549133,0.07437480746585674,64.93506493506493
28,Jeong-won Choi 최정원,Dinos (KBO),2024-2026,441,26,98.63910550726166,0.09977324239229025,0.179138321414966,0.0382793409229025,6.425371154784019,0.0652241609952284,63.63636363636363
29,Seong Bin Hwang 황성빈,Giants (KBO),2023-2026,1071,28,88.31798533587819,0.0718954242614379,0.14752567634920635,0.08093534964239028,8.971419112104638,0.052302212453855475,62.33766233766234
30,Tae-yean Kim 김태연,Eagles (KBO),2023-2026,1297,29,102.7874943521347,0.08558211216345413,0.18658442523053198,0.11876970772706245,3.5908786879285697,0.03901570762099194,61.038961038961034
31,Bon-hyeok Gu 구본혁,Twins (KBO),2024-2026,980,29,86.87982674669718,0.09081632597244897,0.12244897923061225,0.058801122551020414,4.558802809598287,0.012879832109409742,59.74025974025974
32,Tae Yang Han 한태양,Giants (KBO),2025-2026,372,22,97.52337539634446,0.11021505337096772,0.24731182773387095,0.08690579192741935,5.675043068408594,-0.0007982892780274135,58.44155844155844
33,Young Woong Kim 김영웅,Lions (KBO),2023-2025,1111,21,100.63128938990525,0.09090909029522952,0.2934293427632763,0.21137293278937896,4.720478858919577,-0.025462300616224367,57.14285714285714
34,Jin-young Lee 이진영,Eagles (KBO),2023-2026,974,28,100.8025852805624,0.11190965051026694,0.2792607798531828,0.13661657291991786,3.288318974014009,-0.03633038755901665,55.84415584415584
35,Young Mook Hwang 황영묵,Eagles (KBO),2024-2026,762,26,92.88100680179528,0.08136482861548557,0.1430446187152231,0.0778416396023622,4.355873517433872,-0.05220354939823122,54.54545454545454
36,Ji-yeol Im 임지열,Heroes (KBO),2023-2025,662,29,97.46903264557609,0.10574018087311178,0.26435045265105744,0.12740227696223566,4.148555888992943,-0.06435195262703164,53.246753246753244
37,Ju Hong Park 박주홍,Heroes (KBO),2025-2026,442,25,82.90851059046203,0.11312217166968325,0.26018099518552035,0.10443041562669683,6.612344497608168,-0.0877087551997798,51.94805194805194
