Name,NameASCII,Season,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,AVG,OBP,SLG,OPS,wOBA,BABIP,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,HBP,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,composite_score,age_multiplier,adjusted_composite,player_type,seasons_used
Baek-ho Kang 강백호,Baek-ho Kang,2026,Eagles (KBO),26,1595,124.53557636086182,0.10658307166018807,0.19686520308087774,0.20732460071034478,2.8538641753018794,0.2845103816827586,0.36238244463009406,0.49183498239310336,0.8542174270231975,0.3813444434718268,0.3190211088119122,388,1409,401,72,2,72,215,281,170,314,11,8,7,1.4489256752492565,0.9527487397155054,-0.07790379013246493,1.9395219207863552,-1.0711943021315167,0.8722545034349478,1.0,0.8722545034349478,KBO_only,2023-2026
Seung Yeup Na 나승엽,Seung Yeup Na,2026,Giants (KBO),24,1069,108.79835059211072,0.13283442416276894,0.16744621106361088,0.14317217938353602,2.8050101704964403,0.2666041279326473,0.3675046640916744,0.40977630731618336,0.7772809714078578,0.3580290683604757,0.3076411989017774,274,902,240,54,6,21,117,137,142,179,2,0,9,0.5666623836937517,2.148027445374837,-0.7100817843735366,0.43191183290198637,-1.0279657416197545,0.8110121340998646,1.05,0.8515627408048578,KBO_only,2024-2026
Sung-ju Moon 문성주,Sung-ju Moon,2026,Twins (KBO),29,1624,112.9401557749313,0.11391625570012316,0.09482758548214286,0.07102878627278325,4.248855381452844,0.3032319719396552,0.3870009024199507,0.3742607582124384,0.7612616606323891,0.3602913916102933,0.3330428188134236,420,1395,423,65,8,6,194,194,185,154,43,24,17,0.8385109664748662,1.3385056942197828,-2.4886807368550663,-1.1865130094643228,-0.10023909886579847,0.8959149995621907,0.9,0.8063234996059716,KBO_only,2023-2026
Jae Hyeon Lee 이재현,Jae Hyeon Lee,2026,Lions (KBO),23,1686,108.22278604299599,0.1168446022876631,0.1826809011227758,0.16078402345788848,3.71730194838353,0.2529898819240807,0.35087492683570576,0.4137739053819692,0.764648832217675,0.3533702670172531,0.286817488183274,429,1415,358,69,4,50,237,214,197,308,13,5,27,0.5922622404524894,1.5003235585104993,-0.41617940781776885,0.8811560102805742,-0.47384203098768024,0.7207846417702435,1.05,0.7568238738587557,KBO_only,2023-2026
Ronnie Dawson 도슨,Ronnie Dawson,2024,Heroes (KBO),29,690,137.21416304973025,0.08260869499565218,0.1376811586478261,0.15527451915652174,4.637626074768578,0.33226440956521736,0.3985507239043478,0.4875389287217391,0.8860896526260869,0.4027508046316064,0.3714605851695652,152,611,203,45,4,14,106,86,57,95,11,4,15,1.7412475523798963,-0.25406629832954175,-1.2068047452836361,0.6094735429293404,0.13499576627225163,0.8051392482549368,0.9,0.7246253234294431,KBO_only,2023-2024
Luis Liberato 리베라토,Luis Liberato,2025,Eagles (KBO),29,546,139.8809512799132,0.084249084,0.172161172,0.211382113,4.280212638463427,0.31300813,0.366300366,0.524390243,0.890690609,0.3972478773131038,0.347150259,124,492,154,36,4,20,82,78,46,94,2,0,0,1.7146450015339165,-0.17379580545650464,-0.48950913297329085,1.5462082109823825,-0.06847716093921385,0.7939298912441429,0.9,0.7145369021197286,KBO_only,2025 only
Jason Martin 마틴,Jason Martin,2023,Dinos (KBO),27,503,125.07659314863308,0.113320079,0.212723658,0.172413793,4.7771954258315565,0.28275862,0.359840954,0.455172413,0.815013367,0.3747577876625899,0.330218068,118,435,123,20,2,17,55,90,57,107,15,3,1,1.0794063784005679,0.956205307832231,0.2380434582517085,0.8346929970761974,0.18995048156698938,0.659463546546015,1.0,0.659463546546015,KBO_only,2023 only
Ju Won Kim 김주원,Ju Won Kim,2026,Dinos (KBO),23,1939,112.99696283983515,0.09644146432955134,0.1944301180453842,0.14105857663950488,6.333292952854864,0.26968784463383183,0.3655840646080454,0.41074642127333677,0.7763304858813821,0.3612235095193277,0.3212194930319753,486,1647,445,68,12,47,270,208,187,377,95,24,69,0.8654453713128009,0.43854617761189846,-0.14120750920520855,0.43491723478617816,1.3911356765818796,0.6018628105139713,1.05,0.6319559510396698,KBO_only,2023-2026
Dong Hee Yoon 윤동희,Dong Hee Yoon,2026,Giants (KBO),22,1619,109.19963794440935,0.10191476155713404,0.18221124121618282,0.13101598476961088,3.5630844330933535,0.2817003796788141,0.36230823804508955,0.4127163644484249,0.7750246024935145,0.3567521738816838,0.3335960503292156,392,1409,397,84,6,29,215,191,165,295,14,17,22,0.6398564066590003,0.7114795590875682,-0.42424542139520915,0.19170121198986032,-0.5787369843161231,0.4255573794155007,1.15,0.4893909863278258,KBO_only,2023-2026
Won-jun Choi 최원준,Won-jun Choi,2026,Wiz (KBO),29,1604,103.86781718158782,0.09319812660598505,0.1482569081627182,0.11099646765149628,5.849653124602199,0.284039511132793,0.3566489617113466,0.39503597878428925,0.751684940495636,0.34884037897311077,0.3242951469513716,358,1223,356,61,8,21,208,142,137,202,59,23,16,0.35668215994733443,0.25610612913066516,-1.2240440820947218,-0.26775326323691195,1.015285235062154,0.4772055307064895,0.9,0.4294849776358406,KBO_only,2023-2026
