Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,player_type
2023,Hoon Jung 정훈,Giants (KBO),35.0,80,201,233,56,36,14,0,6,40,31,26,1,39,0,2,4,4,2,0,0.278606965,Hoon Jung,sa3012191,,0.111587982,0.167381974,0.666666666,0.358078602,0.437810945,0.795889547,0.15920398,4.1664386767066075,0.316455696,0.2175398904364556,33.35973541781988,5.920182693458456,0.3693875108371701,121.57536149706402,KBO_only
2023,Hui-dong Kwon 권희동,Dinos (KBO),32.0,96,309,373,88,65,16,0,7,33,63,49,0,50,6,5,4,4,3,0,0.284789644,Hui-dong Kwon,sa3012415,,0.131367292,0.134048257,0.98,0.387533875,0.404530744,0.792064619,0.1197411,2.513135739807844,0.315175097,0.2410620767623186,55.43158389405979,11.504746270940435,0.3764666326969942,126.1907000218138,KBO_only
2023,Hyeon Joon Kim 김현준,Lions (KBO),20.0,109,433,479,119,100,10,6,3,62,46,30,0,84,5,3,8,5,5,5,0.274826789,Hyeon Joon Kim,sa3017998,,0.06263048,0.175365344,0.357142857,0.326963906,0.346420323,0.673384229,0.071593534,5.263187210021171,0.332378223,-1.49871589965187,50.29244250851139,-6.117625109381827,0.3196604751730674,89.15508282879398,KBO_only
2023,Hyeon-bin Hong 홍현빈,Wiz (KBO),25.0,44,73,86,17,15,2,0,0,15,1,13,0,21,0,0,0,2,2,0,0.232876712,Hyeon-bin Hong,sa3012624,,0.15116279,0.244186046,0.619047619,0.348837209,0.260273972,0.609111181,0.02739726,5.500009431330321,0.326923076,0.3162478217855096,8.263134716615037,-1.864768864050551,0.3080536023128864,81.58780986412194,KBO_only
2023,Hyeon-woo Kang 강현우,Wiz (KBO),22.0,53,103,111,20,13,6,0,1,11,11,6,0,17,1,0,1,3,0,1,0.194174757,Hyeon-woo Kang,sa3014272,,0.054054054,0.153153153,0.352941176,0.245454545,0.281553398,0.527007943,0.087378641,2.694341906680578,0.223529411,-0.4788051368668675,5.857789993755892,-7.214271604545042,0.2516452133655548,44.81152379604201,KBO_only
2023,Hyeong Woo Cho 조형우,Landers (KBO),21.0,62,119,133,22,15,4,1,2,9,12,8,0,25,1,1,4,2,0,0,0.184873949,Hyeong Woo Cho,sa3019473,,0.060150375,0.187969924,0.32,0.240310077,0.285714285,0.526024362,0.100840336,2.5803571400000003,0.215053763,-0.0717875864356756,6.836065659076875,-8.826854994743162,0.2498558126678762,43.64489746303876,KBO_only
2023,Hyeong-jun Yoon 윤형준,Dinos (KBO),29.0,82,218,236,55,37,12,1,5,17,27,10,0,58,3,3,2,6,1,1,0.252293577,Hyeong-jun Yoon,sa3012405,,0.042372881,0.245762711,0.172413793,0.29059829,0.3853211,0.67591939,0.133027523,2.6548570914207095,0.316455696,-0.3685396169312298,23.545200029349363,-4.247651657128295,0.3128528454874316,84.71674765495565,KBO_only
2023,Hyeseong Kim 김혜성,Heroes (KBO),24.0,136,552,617,185,143,29,6,7,104,57,57,3,76,3,5,0,6,25,3,0.335144927,Hyeseong Kim,35322,,0.092382495,0.123176661,0.75,0.397082658,0.447463768,0.844546426,0.112318841,6.780628930304302,0.375527426,3.144823743030429,99.64351378722296,26.981693911982628,0.3932505872234071,137.13324818771392,KBO_to_MLB
2023,Hyoung-woo Choi 최형우,Tigers (KBO),39.0,121,431,508,130,85,27,1,17,64,81,65,1,83,8,4,0,5,0,0,0.301624129,Hyoung-woo Choi,sa3012871,,0.127952755,0.163385826,0.78313253,0.399606299,0.487238979,0.886845278,0.18561485,1.66813803375,0.337313432,-0.4696104612667113,89.03349597877025,29.208205060420024,0.4111798606680695,148.82250401470424,KBO_only
2023,Hyun Bin Moon 문현빈,Eagles (KBO),19.0,137,428,481,114,85,22,2,5,47,49,33,2,84,6,5,9,7,5,1,0.26635514,Hyun Bin Moon,sa3020698,,0.068607068,0.174636174,0.392857142,0.324152542,0.362149532,0.686302074,0.095794392,4.217529990277804,0.316860465,0.2160976356826722,51.49601651217762,-5.149583747126425,0.3223508607833943,90.90911964291418,KBO_only
