Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Sung-Mun Song 송성문","- - -","—",2561,0.094103865,0.126122608,0.74613003,0.288469969,0.354346123,0.44278825,0.797134373,0.154318281,5.295220687010966,0.307571801,6.205942806787789,363.3647207306652,48.10741348433778,0.36140280708153544,114.19279862586508,"Sung-Mun Song","37122",
"José Pirela 피렐라","- - -","—",1860,0.083333333,0.128494623,0.648535564,0.304062126,0.369892473,0.494623655,0.864516128,0.190561529,4.270140631027798,0.318480642,-1.2258533174172044,302.3938294755988,80.93784774418404,0.3928242285312485,136.77143341199837,"Jose Pirela","5485",
"Jamie Romak 로맥","Landers (KBO)","—",421,0.140142517,0.197149643,0.710843373,0.225352112,0.339667458,0.425352112,0.76501957,0.2,2.183059123258685,0.235294117,0.06431483116466552,55.865941732039374,4.150244354119228,0.356432996903147,108.02511532193155,"Jamie Romak","5552",
"Matt Davidson 데이비슨","- - -","—",1208,0.062913907,0.252483443,0.249180327,0.294392523,0.355960264,0.597196261,0.953156525,0.302803738,2.358803786097094,0.323319027,-1.0151023815851659,222.22242482751054,66.65002962201281,0.4105467740787246,142.80225244899034,"Matt Davidson","7226",
"Hun Gon Kim 김헌곤","- - -","—",1181,0.066892464,0.136325148,0.490683229,0.255857544,0.311965811,0.337394564,0.649360375,0.08153702,3.9144492298531843,0.285238623,-2.180684694321826,113.0349766978785,-34.371842273159345,0.3042880149478586,75.42313201004043,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","- - -","—",571,0.108581436,0.190893169,0.568807339,0.229299363,0.32789855,0.301486199,0.629384749,0.072186836,2.3524961753586426,0.28021978,-1.4351635915227234,54.856992235105125,-15.910199562389765,0.3053895690734836,76.52743601085463,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","- - -","—",997,0.116349047,0.29889669,0.389261744,0.213510253,0.32892057,0.338962605,0.667883175,0.125452352,2.8147317551534394,0.300387596,-0.878916522487998,106.08842663207822,-16.735291274992882,0.3196093353170381,86.02623657336036,"Byeong-woo Jeon","sa3011926",
"Yongkyu Lee 이용규","- - -","—",1315,0.12851711,0.114828897,1.119205298,0.262727272,0.368663594,0.317272727,0.685936321,0.054545455,6.2438239952111605,0.299582463,3.0600329301087186,155.85188210954445,-5.5013112927459025,0.33411416315115416,95.60627261752839,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","- - -","—",971,0.109165808,0.117404737,0.929824561,0.247831474,0.340811965,0.3110285,0.651840465,0.063197026,2.6209034043678243,0.278335724,-0.48454121057875454,100.44297580788961,-17.54175360132823,0.31532188197019523,84.84792379912295,"Jaeho Kim","sa3012016",
"Minho Kang 강민호","- - -","—",2476,0.091276252,0.134894991,0.676646706,0.279908675,0.350990699,0.444748858,0.795739557,0.164840183,2.154121630341206,0.294672586,-1.7467424889327958,347.75120628573654,43.3302362630582,0.3617287376019231,114.15411941657888,"Minho Kang","sa3012023",
