Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2024,"Matt Davidson 데이비슨","Dinos (KBO)",33,131,504,567,154,82,25,1,46,90,119,39,5,142,17,7,0,12,0,1,0.305555555,"Matt Davidson","7226",
2025,"Matt Davidson 데이비슨","Dinos (KBO)",34,112,386,439,113,59,18,0,36,63,97,31,1,118,8,14,0,10,1,0,0.292746113,"Matt Davidson","7226",
2026,"Matt Davidson 데이비슨","Dinos (KBO)",35,63,221,252,64,44,11,1,8,23,40,12,0,58,17,2,0,4,1,0,0.28959276,"Matt Davidson","7226",
2026,"Jarryd Dale 데일","Tigers (KBO)",25,34,117,135,30,25,4,0,1,20,6,13,1,14,0,1,4,4,1,0,0.256410256,"Jarryd Dale","sa3007022",
2025,"Ruben Cardenas 카데나스","Heroes (KBO)",27,86,320,361,81,58,15,1,7,33,42,32,2,67,6,3,0,7,1,2,0.253125,"Ruben Cardenas","sa3007505",
2024,"Hun Gon Kim 김헌곤","Lions (KBO)",35,117,281,311,85,67,8,1,9,43,34,22,0,50,3,1,4,5,4,2,0.302491103,"Hun Gon Kim","sa3011906",
2025,"Hun Gon Kim 김헌곤","Lions (KBO)",36,77,173,191,39,31,6,0,2,21,11,11,0,29,4,1,2,4,2,1,0.225433526,"Hun Gon Kim","sa3011906",
2024,"Bon Ki Shin 신본기","Wiz (KBO)",35,84,122,152,34,28,3,0,3,18,19,16,0,28,3,2,9,3,2,0,0.278688524,"Bon Ki Shin","sa3011910",
2024,"Byeong-woo Jeon 전병우","Lions (KBO)",31,58,111,128,25,15,5,0,5,17,14,14,0,42,1,2,0,3,0,1,0.225225225,"Byeong-woo Jeon","sa3011926",
2025,"Byeong-woo Jeon 전병우","Lions (KBO)",32,59,77,97,21,18,2,0,1,11,13,19,0,27,1,0,0,3,1,0,0.272727272,"Byeong-woo Jeon","sa3011926",
2026,"Byeong-woo Jeon 전병우","Lions (KBO)",33,76,236,286,52,33,14,0,5,37,32,31,1,77,16,3,0,7,2,2,0.220338983,"Byeong-woo Jeon","sa3011926",
2023,"Joo-Hyung Kim 김주형","Heroes (KBO)",27,46,68,81,10,8,2,0,0,5,4,9,0,27,1,0,3,2,0,0,0.147058823,"Joo-Hyung Kim","sa3011932",
2023,"Yongkyu Lee 이용규","Heroes (KBO)",37,49,150,174,35,32,0,3,0,18,11,19,0,22,1,2,2,2,3,1,0.233333333,"Yongkyu Lee","sa3012015",
2024,"Yongkyu Lee 이용규","Heroes (KBO)",38,60,183,227,56,48,5,2,1,27,12,31,0,33,9,1,3,3,2,2,0.306010928,"Yongkyu Lee","sa3012015",
2023,"Jaeho Kim 김재호","Bears (KBO)",38,91,247,302,70,54,13,0,3,32,29,30,2,24,8,2,15,11,4,0,0.283400809,"Jaeho Kim","sa3012016",
2024,"Jaeho Kim 김재호","Bears (KBO)",39,57,126,154,38,32,5,0,1,20,11,19,0,23,1,1,7,4,0,0,0.301587301,"Jaeho Kim","sa3012016",
2023,"Sok Min Park 박석민","Dinos (KBO)",38,30,88,107,17,15,1,0,1,9,8,14,0,22,3,1,1,4,0,0,0.193181818,"Sok Min Park","sa3012020",
2023,"Minho Kang 강민호","Lions (KBO)",37,125,434,495,126,91,19,0,16,60,77,49,4,65,6,5,1,17,6,1,0.29032258,"Minho Kang","sa3012023",
2024,"Minho Kang 강민호","Lions (KBO)",38,136,403,452,122,83,19,1,19,48,77,35,2,52,8,6,0,17,3,0,0.302729528,"Minho Kang","sa3012023",
2025,"Minho Kang 강민호","Lions (KBO)",39,127,412,465,111,75,23,1,12,37,71,38,4,69,7,7,1,16,2,2,0.269417475,"Minho Kang","sa3012023",
2026,"Minho Kang 강민호","Lions (KBO)",40,60,172,198,44,29,9,0,6,15,35,23,0,44,3,0,0,3,0,2,0.255813953,"Minho Kang","sa3012023",
2023,"Jeong Choi 최정","Landers (KBO)",36,128,471,552,140,80,31,0,29,94,87,59,6,87,15,6,1,12,7,3,0.297239915,"Jeong Choi","sa3012034",
2024,"Jeong Choi 최정","Landers (KBO)",37,129,468,550,136,70,27,2,37,93,107,55,1,114,20,7,0,10,5,1,0.29059829,"Jeong Choi","sa3012034",
2025,"Jeong Choi 최정","Landers (KBO)",38,95,340,406,83,48,12,0,23,54,63,51,6,94,12,3,0,10,1,0,0.244117647,"Jeong Choi","sa3012034",
2026,"Jeong Choi 최정","Landers (KBO)",39,70,251,300,77,40,17,1,19,44,54,37,5,66,6,6,0,7,3,1,0.306772908,"Jeong Choi","sa3012034",
2023,"Euiji Yang 양의지","Bears (KBO)",36,129,439,510,134,94,23,0,17,56,68,57,8,56,11,3,0,20,7,0,0.305239179,"Euiji Yang","sa3012037",
2024,"Euiji Yang 양의지","Bears (KBO)",37,119,430,485,135,99,18,1,17,57,94,40,5,56,9,6,0,13,2,1,0.313953488,"Euiji Yang","sa3012037",
2025,"Euiji Yang 양의지","Bears (KBO)",38,130,454,517,153,105,27,1,20,56,89,50,6,63,7,6,0,10,4,2,0.337004405,"Euiji Yang","sa3012037",
2026,"Euiji Yang 양의지","Bears (KBO)",39,84,281,333,71,49,11,0,11,27,43,27,0,37,16,9,0,8,1,0,0.252669039,"Euiji Yang","sa3012037",
