Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2024,"Tae-hun Do 도태훈","Dinos (KBO)",31,100,145,181,31,27,4,0,0,20,15,24,0,29,6,2,4,5,1,0,0.213793103,"Tae-hun Do","sa3012620",
2025,"Tae-hun Do 도태훈","Dinos (KBO)",32,62,77,98,14,8,4,1,1,9,8,7,0,16,8,0,6,2,3,0,0.181818181,"Tae-hun Do","sa3012620",
2026,"Tae-hun Do 도태훈","Dinos (KBO)",33,58,65,81,10,7,3,0,0,7,7,10,0,17,6,0,0,2,0,1,0.153846153,"Tae-hun Do","sa3012620",
2023,"Hyeon-bin Hong 홍현빈","Wiz (KBO)",25,44,73,86,17,15,2,0,0,15,1,13,0,21,0,0,0,2,2,0,0.232876712,"Hyeon-bin Hong","sa3012624",
2023,"Chi-young An 안치영","Wiz (KBO)",25,76,124,136,36,32,3,1,0,20,9,6,0,35,2,1,3,1,7,1,0.29032258,"Chi-young An","sa3012625",
2023,"Yu-chan Lee 이유찬","Bears (KBO)",24,104,210,239,51,41,7,2,1,31,16,20,0,51,3,1,5,0,12,3,0.242857142,"Yu-chan Lee","sa3012635",
2024,"Yu-chan Lee 이유찬","Bears (KBO)",25,103,231,262,64,50,11,0,3,39,23,22,0,51,1,1,7,9,16,6,0.277056277,"Yu-chan Lee","sa3012635",
2025,"Yu-chan Lee 이유찬","Bears (KBO)",26,89,269,311,65,55,8,1,1,36,16,33,0,66,2,1,6,4,12,2,0.241635687,"Yu-chan Lee","sa3012635",
2026,"Yu-chan Lee 이유찬","Bears (KBO)",27,62,94,108,20,16,2,1,1,12,15,7,0,31,3,3,1,0,4,2,0.212765957,"Yu-chan Lee","sa3012635",
2023,"Seong-yoon Kim 김성윤","Lions (KBO)",24,100,245,272,77,65,4,6,2,40,28,14,0,35,4,5,4,2,20,4,0.314285714,"Seong-yoon Kim","sa3012644",
2024,"Seong-yoon Kim 김성윤","Lions (KBO)",25,32,74,89,18,14,4,0,0,15,6,9,0,16,1,2,3,1,3,1,0.243243243,"Seong-yoon Kim","sa3012644",
2025,"Seong-yoon Kim 김성윤","Lions (KBO)",26,127,456,538,151,107,29,9,6,92,61,65,0,54,5,2,10,11,26,7,0.33114035,"Seong-yoon Kim","sa3012644",
2026,"Seong-yoon Kim 김성윤","Lions (KBO)",27,68,226,261,68,53,11,2,2,43,31,24,0,28,2,2,7,2,14,3,0.300884955,"Seong-yoon Kim","sa3012644",
2025,"Seok-hwan Kim 김석환","Tigers (KBO)",26,47,117,134,31,26,1,2,2,14,16,14,0,55,2,1,0,0,0,0,0.264957264,"Seok-hwan Kim","sa3012653",
2023,"Jeong-hun Lee 이정훈","Giants (KBO)",28,59,152,171,45,37,7,0,1,17,17,13,0,28,3,3,0,1,1,1,0.296052631,"Jeong-hun Lee","sa3012655",
2024,"Jeong-hun Lee 이정훈","Giants (KBO)",29,65,100,116,30,22,8,0,0,10,18,13,1,21,0,2,1,4,0,0,0.3,"Jeong-hun Lee","sa3012655",
2025,"Jeong-hun Lee 이정훈","Wiz (KBO)",30,59,132,148,34,26,4,0,4,20,14,13,0,48,3,0,0,4,0,1,0.257575757,"Jeong-hun Lee","sa3012655",
2023,"Seong-han Park 박성한","Landers (KBO)",25,128,459,529,122,94,19,0,9,53,47,58,1,56,1,4,7,7,5,1,0.265795206,"Seong-han Park","sa3012661",
2024,"Seong-han Park 박성한","Landers (KBO)",26,137,489,564,147,113,24,0,10,78,66,64,3,86,2,6,3,12,13,3,0.300613496,"Seong-han Park","sa3012661",
2025,"Seong-han Park 박성한","Landers (KBO)",27,127,452,538,124,92,23,2,7,73,48,79,1,93,3,2,2,6,5,6,0.274336283,"Seong-han Park","sa3012661",
2026,"Seong-han Park 박성한","Landers (KBO)",28,86,315,374,105,81,20,1,3,57,39,56,1,45,1,2,0,2,5,2,0.333333333,"Seong-han Park","sa3012661",
2026,"Baek-ho Kang 강백호","Eagles (KBO)",26,78,300,341,94,54,17,0,23,50,85,36,3,68,1,4,0,6,0,2,0.313333333,"Baek-ho Kang","sa3012665",
2023,"Baek-ho Kang 강백호","Wiz (KBO)",23,71,238,271,63,44,10,1,8,32,39,31,4,55,0,2,0,1,3,0,0.264705882,"Baek-ho Kang","sa3012665",
2024,"Baek-ho Kang 강백호","Wiz (KBO)",24,144,550,614,159,106,27,0,26,92,96,59,4,127,3,2,0,6,6,2,0.289090909,"Baek-ho Kang","sa3012665",
2025,"Baek-ho Kang 강백호","Wiz (KBO)",25,95,321,369,85,51,18,1,15,41,61,44,3,64,3,1,0,9,2,4,0.264797507,"Baek-ho Kang","sa3012665",
2023,"Sung-ju Moon 문성주","Twins (KBO)",26,135,446,530,132,105,21,4,2,77,57,66,0,33,8,4,6,10,24,13,0.295964125,"Sung-ju Moon","sa3012668",
2024,"Sung-ju Moon 문성주","Twins (KBO)",27,96,305,361,96,78,16,2,0,47,48,49,0,38,3,3,1,4,13,7,0.314754098,"Sung-ju Moon","sa3012668",
2025,"Sung-ju Moon 문성주","Twins (KBO)",28,135,475,542,145,120,20,2,3,57,70,54,0,59,4,9,0,10,4,3,0.305263157,"Sung-ju Moon","sa3012668",
2026,"Sung-ju Moon 문성주","Twins (KBO)",29,54,169,191,50,41,8,0,1,13,19,16,2,24,2,2,2,4,2,1,0.295857988,"Sung-ju Moon","sa3012668",
2024,"Min-jae Jeon 전민재","Bears (KBO)",25,100,248,276,61,53,5,1,2,34,32,17,1,53,4,3,4,8,7,3,0.245967741,"Min-jae Jeon","sa3012673",
2025,"Min-jae Jeon 전민재","Giants (KBO)",26,101,331,369,95,75,15,0,5,39,34,22,0,63,4,2,10,7,3,3,0.287009063,"Min-jae Jeon","sa3012673",
2026,"Min-jae Jeon 전민재","Giants (KBO)",27,82,272,297,74,54,12,0,8,29,43,17,0,61,3,3,2,5,9,3,0.272058823,"Min-jae Jeon","sa3012673",
2026,"Jae-hyun Choo 추재현","Heroes (KBO)",27,24,76,84,22,18,2,0,2,4,6,7,0,12,1,0,0,7,0,0,0.289473684,"Jae-hyun Choo","sa3012679",
2025,"Jae-hyun Choo 추재현","Bears (KBO)",26,34,81,87,18,13,3,1,1,7,7,3,0,17,1,0,2,2,0,0,0.222222222,"Jae-hyun Choo","sa3012679",
2023,"Dong-hui Han 한동희","Giants (KBO)",24,108,319,353,71,55,11,0,5,30,32,26,0,58,1,5,2,16,1,2,0.222570532,"Dong-hui Han","sa3012686",
2026,"Dong-hui Han 한동희","Giants (KBO)",27,50,182,204,51,36,8,0,7,24,24,16,2,35,3,3,0,10,1,0,0.28021978,"Dong-hui Han","sa3012686",
2023,"Won-seok Lee 이원석","Eagles (KBO)",24,81,116,138,22,20,1,1,0,20,8,21,0,33,1,0,0,3,13,3,0.189655172,"Won-seok Lee","sa3012693",
2024,"Won-seok Lee 이원석","Eagles (KBO)",25,87,133,154,31,26,4,1,0,26,13,16,0,32,2,1,2,3,8,2,0.233082706,"Won-seok Lee","sa3012693",
2025,"Won-seok Lee 이원석","Eagles (KBO)",26,129,212,248,43,32,7,0,4,60,24,23,0,51,4,2,7,4,21,3,0.202830188,"Won-seok Lee","sa3012693",
2026,"Won-seok Lee 이원석","Eagles (KBO)",27,67,152,168,42,34,5,2,1,25,13,11,0,28,1,0,4,1,4,3,0.276315789,"Won-seok Lee","sa3012693",
2023,"Eun-won Jung 정은원","Eagles (KBO)",23,122,388,459,86,72,12,0,2,50,30,62,1,73,3,1,5,4,6,3,0.221649484,"Eun-won Jung","sa3012695",
2025,"Jun-woo Choi 최준우","Landers (KBO)",26,78,152,192,29,26,0,0,3,17,22,30,0,47,3,4,3,3,2,0,0.190789473,"Jun-woo Choi","sa3012699",
2023,"Young-soo Oh 오영수","Dinos (KBO)",23,70,208,238,49,35,9,1,4,21,24,17,1,55,5,3,5,5,3,3,0.235576923,"Young-soo Oh","sa3012702",
2025,"Young-soo Oh 오영수","Dinos (KBO)",25,67,155,179,36,28,5,0,3,14,23,22,0,47,2,0,0,0,3,2,0.232258064,"Young-soo Oh","sa3012702",
2023,"Hyung-jun Kim 김형준","Dinos (KBO)",23,26,72,82,17,9,2,0,6,10,13,8,0,24,1,0,1,3,0,0,0.236111111,"Hyung-jun Kim","sa3012705",
2024,"Hyung-jun Kim 김형준","Dinos (KBO)",24,119,354,414,69,40,12,0,17,39,50,45,0,144,2,6,7,6,0,0,0.194915254,"Hyung-jun Kim","sa3012705",
2025,"Hyung-jun Kim 김형준","Dinos (KBO)",25,127,362,415,84,55,10,1,18,51,55,45,0,126,3,2,3,7,3,0,0.232044198,"Hyung-jun Kim","sa3012705",
2026,"Hyung-jun Kim 김형준","Dinos (KBO)",26,73,199,229,49,34,4,1,10,26,41,20,0,72,4,3,3,9,0,0,0.246231155,"Hyung-jun Kim","sa3012705",
2024,"Bon-hyeok Gu 구본혁","Twins (KBO)",27,133,339,389,87,69,14,2,2,48,43,38,0,51,4,4,4,7,8,4,0.256637168,"Bon-hyeok Gu","sa3012711",
2025,"Bon-hyeok Gu 구본혁","Twins (KBO)",28,131,343,397,98,79,16,2,1,41,38,36,1,44,6,0,12,4,10,5,0.285714285,"Bon-hyeok Gu","sa3012711",
2026,"Bon-hyeok Gu 구본혁","Twins (KBO)",29,83,188,218,51,48,3,0,0,20,15,17,0,27,2,1,10,4,3,0,0.271276595,"Bon-hyeok Gu","sa3012711",
2023,"Dae-han Kim 김대한","Bears (KBO)",22,33,81,89,16,11,3,1,1,10,7,7,0,21,1,0,0,0,1,3,0.197530864,"Dae-han Kim","sa3012718",
2024,"Dae-han Kim 김대한","Bears (KBO)",23,61,75,89,10,8,1,0,1,10,7,8,0,26,2,2,2,1,1,1,0.133333333,"Dae-han Kim","sa3012718",
2025,"Seung-kyu Park 박승규","Lions (KBO)",24,64,174,200,50,39,5,0,6,39,14,21,0,43,4,0,1,2,5,4,0.287356321,"Seung-kyu Park","sa3012721",
2026,"Seung-kyu Park 박승규","Lions (KBO)",25,69,217,262,62,38,10,5,9,46,34,40,1,37,3,2,0,5,6,1,0.285714285,"Seung-kyu Park","sa3012721",
2026,"Do-hwan Kim 김도환","Lions (KBO)",26,32,68,85,20,15,4,0,1,8,7,10,0,20,3,1,3,2,0,0,0.294117647,"Do-hwan Kim","sa3012722",
2023,"Seung-min Go 고승민","Giants (KBO)",22,94,255,308,57,39,14,2,2,35,25,42,3,64,1,4,6,2,8,3,0.223529411,"Seung-min Go","sa3012726",
2024,"Seung-min Go 고승민","Giants (KBO)",23,120,481,532,148,101,27,6,14,79,87,41,0,78,1,8,1,10,5,4,0.307692307,"Seung-min Go","sa3012726",
2025,"Seung-min Go 고승민","Giants (KBO)",24,121,469,538,127,100,21,2,4,71,45,56,1,83,3,4,6,8,5,1,0.270788912,"Seung-min Go","sa3012726",
2026,"Seung-min Go 고승민","Giants (KBO)",25,55,222,243,60,43,9,2,6,35,33,18,1,44,0,2,1,0,0,1,0.27027027,"Seung-min Go","sa3012726",
2025,"Sun-woo Oh 오선우","Tigers (KBO)",28,124,437,474,116,80,17,1,18,58,56,34,2,158,3,0,0,11,0,2,0.265446224,"Sun-woo Oh","sa3012730",
2023,"Woo-hyuk Byun 변우혁","Tigers (KBO)",23,83,200,226,45,34,4,0,7,23,24,23,1,74,3,0,0,4,0,0,0.225,"Woo-hyuk Byun","sa3012733",
2024,"Woo-hyuk Byun 변우혁","Tigers (KBO)",24,69,168,187,51,35,9,2,5,22,21,16,0,48,2,1,0,8,1,0,0.303571428,"Woo-hyuk Byun","sa3012733",
2025,"Woo-hyuk Byun 변우혁","Tigers (KBO)",25,47,142,153,31,24,7,0,0,11,17,10,0,47,1,0,0,3,0,0,0.218309859,"Woo-hyuk Byun","sa3012733",
2023,"Si-hwan Roh 노시환","Eagles (KBO)",22,131,514,595,153,91,30,1,31,85,101,74,5,118,4,3,0,13,2,1,0.297665369,"Si-hwan Roh","sa3012734",
2024,"Si-hwan Roh 노시환","Eagles (KBO)",23,136,526,601,143,97,20,2,24,88,89,60,9,129,11,4,0,10,6,0,0.271863117,"Si-hwan Roh","sa3012734",
2025,"Si-hwan Roh 노시환","Eagles (KBO)",24,144,539,624,140,78,28,2,32,97,101,70,10,125,11,4,0,22,14,5,0.259740259,"Si-hwan Roh","sa3012734",
2026,"Si-hwan Roh 노시환","Eagles (KBO)",25,75,297,340,78,47,13,1,17,59,56,32,0,93,7,3,1,8,2,2,0.262626262,"Si-hwan Roh","sa3012734",
2023,"Kang-min Kim 김강민","Landers (KBO)",40,70,138,166,31,26,3,0,2,20,7,23,1,38,1,3,1,1,2,1,0.224637681,"Kang-min Kim","sa3012834",
2024,"Kang-min Kim 김강민","Eagles (KBO)",41,41,76,87,17,16,0,0,1,5,7,8,0,21,3,0,0,1,0,0,0.22368421,"Kang-min Kim","sa3012834",
2026,"Hyoung-woo Choi 최형우","Lions (KBO)",42,81,289,348,95,67,16,0,12,40,66,50,4,48,3,6,0,11,1,0,0.328719723,"Hyoung-woo Choi","sa3012871",
2023,"Hyoung-woo Choi 최형우","Tigers (KBO)",39,121,431,508,130,85,27,1,17,64,81,65,1,83,8,4,0,5,0,0,0.301624129,"Hyoung-woo Choi","sa3012871",
2024,"Hyoung-woo Choi 최형우","Tigers (KBO)",40,116,425,487,119,72,23,2,22,67,109,52,4,86,5,5,0,5,1,1,0.28,"Hyoung-woo Choi","sa3012871",
2025,"Hyoung-woo Choi 최형우","Tigers (KBO)",41,133,469,549,144,89,30,1,24,74,86,67,8,98,8,5,0,9,1,0,0.307036247,"Hyoung-woo Choi","sa3012871",
2023,"Kyung-su Park 박경수","Wiz (KBO)",39,107,185,221,37,23,13,0,1,12,12,30,1,46,1,0,5,2,0,0,0.2,"Kyung-su Park","sa3012911",
2023,"Jae-il Oh 오재일","Lions (KBO)",36,106,315,364,64,38,15,0,11,31,54,43,1,110,3,3,0,1,1,0,0.203174603,"Jae-il Oh","sa3013047",
2024,"Jae-il Oh 오재일","Wiz (KBO)",37,83,232,272,57,36,13,0,8,27,37,30,0,70,2,8,0,3,0,0,0.245689655,"Jae-il Oh","sa3013047",
2023,"Won-seok Lee 이원석","Heroes (KBO)",36,70,247,273,54,47,6,0,1,16,20,20,1,59,3,2,1,8,0,0,0.218623481,"Won-seok Lee","sa3013066",
2024,"Won-seok Lee 이원석","Heroes (KBO)",37,39,91,109,20,16,4,0,0,5,8,14,0,18,2,2,0,2,0,0,0.219780219,"Won-seok Lee","sa3013066",
2024,"Joo-hwan Choi 최주환","Heroes (KBO)",36,130,482,544,124,87,23,1,13,49,84,47,2,92,6,9,0,12,0,1,0.25726141,"Joo-hwan Choi","sa3013103",
2025,"Joo-hwan Choi 최주환","Heroes (KBO)",37,120,459,506,126,82,31,1,12,45,74,36,2,66,5,6,0,8,0,0,0.274509803,"Joo-hwan Choi","sa3013103",
2026,"Joo-hwan Choi 최주환","Heroes (KBO)",38,79,239,277,56,42,10,1,3,21,30,32,1,38,1,2,3,7,0,0,0.234309623,"Joo-hwan Choi","sa3013103",
2023,"Joo-hwan Choi 최주환","Landers (KBO)",35,134,426,478,100,57,23,0,20,48,64,44,4,94,4,3,1,6,0,0,0.234741784,"Joo-hwan Choi","sa3013103",
2023,"Sung-hyun Kim 김성현","Landers (KBO)",36,112,310,354,83,68,14,0,1,35,27,29,1,36,0,2,13,6,4,1,0.267741935,"Sung-hyun Kim","sa3013146",
2024,"Sung-hyun Kim 김성현","Landers (KBO)",37,71,141,167,32,27,3,1,1,21,15,16,0,28,4,1,5,7,2,0,0.226950354,"Sung-hyun Kim","sa3013146",
2025,"Sung-hyun Kim 김성현","Landers (KBO)",38,59,115,137,25,21,3,0,1,15,11,16,0,20,1,1,4,4,1,1,0.217391304,"Sung-hyun Kim","sa3013146",
2024,"Jae-won Lee 이재원","Eagles (KBO)",36,72,134,152,32,27,4,0,1,10,16,7,1,21,4,5,2,4,0,0,0.23880597,"Jae-won Lee","sa3013147",
2025,"Jae-won Lee 이재원","Eagles (KBO)",37,98,125,151,25,21,2,1,1,4,12,14,0,23,1,3,8,3,1,1,0.2,"Jae-won Lee","sa3013147",
2023,"Do-hwan Hur 허도환","Twins (KBO)",38,47,64,81,9,4,3,0,2,8,10,3,0,20,6,1,7,3,0,0,0.140625,"Do-hwan Hur","sa3013160",
2024,"Do-hwan Hur 허도환","Twins (KBO)",39,59,80,105,11,9,2,0,0,10,11,9,0,26,10,1,5,4,0,1,0.1375,"Do-hwan Hur","sa3013160",
2024,"Min-sung Kim 김민성","Giants (KBO)",35,35,70,84,14,7,5,0,2,6,8,10,0,18,3,1,0,1,0,1,0.2,"Min-sung Kim","sa3013175",
2025,"Min-sung Kim 김민성","Giants (KBO)",36,96,214,254,52,36,13,0,3,25,35,33,1,48,4,1,2,7,0,1,0.242990654,"Min-sung Kim","sa3013175",
2023,"Min-sung Kim 김민성","Twins (KBO)",34,111,272,315,68,49,11,0,8,34,41,25,0,58,7,2,9,7,2,1,0.25,"Min-sung Kim","sa3013175",
2023,"Hyung-jong Lee 이형종","Heroes (KBO)",34,98,312,370,68,42,22,1,3,35,37,39,2,78,14,2,3,11,0,0,0.217948717,"Hyung-jong Lee","sa3013195",
2024,"Hyung-jong Lee 이형종","Heroes (KBO)",35,35,102,126,22,15,3,0,4,19,19,22,1,27,1,0,1,1,1,0,0.215686274,"Hyung-jong Lee","sa3013195",
2025,"Hyung-jong Lee 이형종","Heroes (KBO)",36,33,70,82,14,9,3,0,2,4,6,9,0,22,1,0,2,3,1,0,0.2,"Hyung-jong Lee","sa3013195",
2026,"Hyung-jong Lee 이형종","Heroes (KBO)",37,43,116,137,24,16,5,0,3,16,13,17,0,38,3,0,1,3,2,0,0.206896551,"Hyung-jong Lee","sa3013195",
2026,"Jae-hwan Kim 김재환","Landers (KBO)",37,74,247,296,51,33,5,0,13,31,41,45,0,84,3,1,0,4,1,0,0.206477732,"Jae-hwan Kim","sa3013200",
2023,"Jae-hwan Kim 김재환","Bears (KBO)",34,132,405,484,89,64,15,0,10,40,46,72,4,100,5,2,0,8,4,1,0.219753086,"Jae-hwan Kim","sa3013200",
2024,"Jae-hwan Kim 김재환","Bears (KBO)",35,136,474,552,134,77,28,0,29,78,92,63,3,168,6,9,0,8,1,1,0.282700421,"Jae-hwan Kim","sa3013200",
2025,"Jae-hwan Kim 김재환","Bears (KBO)",36,103,344,407,83,55,13,2,13,42,50,57,3,96,4,2,0,4,7,2,0.241279069,"Jae-hwan Kim","sa3013200",
2023,"Jae-hoon Choi 최재훈","Eagles (KBO)",33,125,327,417,81,68,12,0,1,23,33,56,1,48,23,2,9,9,1,1,0.247706422,"Jae-hoon Choi","sa3013205",
2024,"Jae-hoon Choi 최재훈","Eagles (KBO)",34,116,280,348,72,58,10,0,4,34,37,33,0,58,21,6,8,10,0,0,0.257142857,"Jae-hoon Choi","sa3013205",
2025,"Jae-hoon Choi 최재훈","Eagles (KBO)",35,121,269,348,77,61,15,0,1,28,35,46,0,48,17,6,10,4,1,1,0.286245353,"Jae-hoon Choi","sa3013205",
2026,"Jae-hoon Choi 최재훈","Eagles (KBO)",36,39,85,104,14,14,0,0,0,11,12,8,0,19,7,2,2,3,0,0,0.164705882,"Jae-hoon Choi","sa3013205",
2023,"Sung-woo Jang 장성우","Wiz (KBO)",33,131,410,464,118,85,22,0,11,37,65,42,1,70,2,7,3,12,1,1,0.287804878,"Sung-woo Jang","sa3013216",
2024,"Sung-woo Jang 장성우","Wiz (KBO)",34,131,418,489,112,74,19,0,19,53,81,60,1,86,1,8,2,8,5,0,0.267942583,"Sung-woo Jang","sa3013216",
2025,"Sung-woo Jang 장성우","Wiz (KBO)",35,129,413,480,102,75,13,0,14,44,58,55,1,96,2,8,2,13,0,1,0.246973365,"Sung-woo Jang","sa3013216",
2026,"Sung-woo Jang 장성우","Wiz (KBO)",36,52,161,201,33,15,10,0,8,28,35,37,3,49,2,1,0,8,1,0,0.204968944,"Sung-woo Jang","sa3013216",
2023,"Sun-bin Kim 김선빈","Tigers (KBO)",33,119,419,473,134,118,16,0,0,41,48,38,0,26,5,3,8,10,3,1,0.319809069,"Sun-bin Kim","sa3013220",
2024,"Sun-bin Kim 김선빈","Tigers (KBO)",34,116,423,466,139,107,23,0,9,48,57,30,0,39,5,0,7,13,5,1,0.3286052,"Sun-bin Kim","sa3013220",
2025,"Sun-bin Kim 김선빈","Tigers (KBO)",35,84,271,308,87,65,18,1,3,31,46,31,0,35,3,1,2,8,4,0,0.32103321,"Sun-bin Kim","sa3013220",
2026,"Sun-bin Kim 김선빈","Tigers (KBO)",36,83,276,322,67,52,14,0,1,30,25,41,1,34,3,1,1,7,0,0,0.242753623,"Sun-bin Kim","sa3013220",
2025,"Sun-jin Oh 오선진","Heroes (KBO)",35,99,143,163,34,25,8,0,1,15,19,12,0,45,3,1,4,2,0,0,0.237762237,"Sun-jin Oh","sa3013231",
2023,"Sun-jin Oh 오선진","Eagles (KBO)",33,90,165,199,38,32,6,0,0,17,14,24,0,34,5,2,3,7,2,0,0.23030303,"Sun-jin Oh","sa3013231",
2023,"Ji-hwan Oh 오지환","Twins (KBO)",33,125,419,498,112,78,23,3,8,65,61,63,0,82,8,4,4,4,15,7,0.267303102,"Ji-hwan Oh","sa3013245",
2024,"Ji-hwan Oh 오지환","Twins (KBO)",34,108,370,428,94,58,24,2,10,67,59,51,0,106,4,1,2,9,17,4,0.254054054,"Ji-hwan Oh","sa3013245",
2025,"Ji-hwan Oh 오지환","Twins (KBO)",35,127,419,472,106,65,24,1,16,57,62,37,0,115,3,6,7,4,9,7,0.252983293,"Ji-hwan Oh","sa3013245",
2026,"Ji-hwan Oh 오지환","Twins (KBO)",36,78,234,273,59,44,9,0,6,31,40,27,0,54,3,3,6,4,3,2,0.252136752,"Ji-hwan Oh","sa3013245",
2023,"Ju-hyeon Jung 정주현","Twins (KBO)",32,89,88,101,24,21,2,0,1,17,11,9,0,16,0,1,2,1,1,5,0.272727272,"Ju-hyeon Jung","sa3013251",
2023,"Eun-seong Chae 채은성","Eagles (KBO)",33,137,521,596,137,97,17,0,23,71,84,52,8,102,20,3,0,16,0,0,0.262955854,"Eun-seong Chae","sa3013253",
2024,"Eun-seong Chae 채은성","Eagles (KBO)",34,124,436,498,118,74,24,0,20,61,83,49,1,83,8,5,0,12,1,1,0.270642201,"Eun-seong Chae","sa3013253",
2025,"Eun-seong Chae 채은성","Eagles (KBO)",35,132,480,527,138,91,27,1,19,54,88,31,5,96,13,0,3,4,1,2,0.2875,"Eun-seong Chae","sa3013253",
2026,"Eun-seong Chae 채은성","Eagles (KBO)",36,28,102,115,25,20,3,0,2,10,12,8,0,21,3,2,0,5,1,0,0.245098039,"Eun-seong Chae","sa3013253",
2023,"Kun-woo Park 박건우","Dinos (KBO)",32,130,458,533,146,98,34,2,12,70,85,56,0,71,9,9,1,14,7,5,0.318777292,"Kun-woo Park","sa3013255",
2024,"Kun-woo Park 박건우","Dinos (KBO)",33,89,323,362,111,74,23,1,13,58,53,33,3,54,4,2,0,7,4,0,0.34365325,"Kun-woo Park","sa3013255",
2025,"Kun-woo Park 박건우","Dinos (KBO)",34,124,384,442,111,77,24,1,9,43,67,47,2,63,5,5,1,6,6,4,0.2890625,"Kun-woo Park","sa3013255",
2026,"Kun-woo Park 박건우","Dinos (KBO)",35,79,268,318,77,51,11,0,15,41,50,40,5,58,1,9,0,5,5,2,0.287313432,"Kun-woo Park","sa3013255",
2023,"Soo-bin Jung 정수빈","Bears (KBO)",32,137,498,583,143,116,14,11,2,75,33,64,1,63,7,2,12,2,38,8,0.287148594,"Soo-bin Jung","sa3013258",
2024,"Soo-bin Jung 정수빈","Bears (KBO)",33,136,510,608,145,117,21,3,4,95,47,71,1,72,9,8,10,8,52,13,0.284313725,"Soo-bin Jung","sa3013258",
2025,"Soo-bin Jung 정수빈","Bears (KBO)",34,132,462,546,119,93,16,4,6,89,38,61,2,57,11,4,8,7,26,13,0.257575757,"Soo-bin Jung","sa3013258",
2026,"Soo-bin Jung 정수빈","Bears (KBO)",35,85,297,342,79,61,8,4,6,45,32,34,1,49,4,1,6,4,14,4,0.265993265,"Soo-bin Jung","sa3013258",
2023,"Dong-won Park 박동원","Twins (KBO)",33,129,405,477,102,64,17,1,20,54,75,49,3,90,7,8,8,7,0,1,0.251851851,"Dong-won Park","sa3013271",
2024,"Dong-won Park 박동원","Twins (KBO)",34,130,434,498,118,76,22,0,20,58,80,55,2,112,0,7,2,14,1,0,0.2718894,"Dong-won Park","sa3013271",
2025,"Dong-won Park 박동원","Twins (KBO)",35,139,451,523,114,67,25,0,22,57,76,62,4,124,2,5,3,10,4,0,0.252771618,"Dong-won Park","sa3013271",
2026,"Dong-won Park 박동원","Twins (KBO)",36,76,217,267,52,32,11,0,9,34,38,37,2,66,4,3,6,8,1,2,0.239631336,"Dong-won Park","sa3013271",
2023,"Ji-young Lee 이지영","Heroes (KBO)",37,80,214,234,53,44,8,1,0,23,8,12,0,39,1,0,7,2,1,1,0.247663551,"Ji-young Lee","sa3013276",
2024,"Ji-young Lee 이지영","Landers (KBO)",38,123,398,432,111,94,11,1,5,45,50,18,0,35,7,2,7,10,8,1,0.278894472,"Ji-young Lee","sa3013276",
2025,"Ji-young Lee 이지영","Landers (KBO)",39,76,197,216,47,37,6,1,3,13,18,11,0,22,2,2,4,8,2,1,0.23857868,"Ji-young Lee","sa3013276",
2026,"Chi-hong An 안치홍","Heroes (KBO)",35,75,278,313,77,59,12,0,6,30,33,31,2,45,2,2,0,10,0,0,0.276978417,"Chi-hong An","sa3013286",
2023,"Chi-hong An 안치홍","Giants (KBO)",32,121,425,494,124,95,20,1,8,57,63,49,3,53,10,5,5,14,3,3,0.291764705,"Chi-hong An","sa3013286",
2024,"Chi-hong An 안치홍","Eagles (KBO)",33,128,473,533,142,108,21,0,13,64,66,49,1,70,6,4,1,10,3,2,0.300211416,"Chi-hong An","sa3013286",
2025,"Chi-hong An 안치홍","Eagles (KBO)",34,66,174,196,30,24,4,0,2,9,18,16,2,39,1,1,4,4,3,0,0.172413793,"Chi-hong An","sa3013286",
2023,"Bo-keun Jeong 정보근","Giants (KBO)",23,55,81,101,27,19,6,1,1,11,13,14,0,13,1,1,4,2,0,0,0.333333333,"Bo-keun Jeong","sa3014210",
2024,"Bo-keun Jeong 정보근","Giants (KBO)",24,89,133,140,30,27,0,1,2,9,7,3,0,31,0,0,4,4,0,0,0.225563909,"Bo-keun Jeong","sa3014210",
2025,"Bo-keun Jeong 정보근","Giants (KBO)",25,93,129,152,24,18,4,1,1,4,15,18,1,39,1,0,4,4,0,0,0.186046511,"Bo-keun Jeong","sa3014210",
2023,"Jun-su Han 한준수","Tigers (KBO)",24,48,86,94,22,16,4,0,2,9,12,7,0,26,0,0,1,2,0,0,0.255813953,"Jun-su Han","sa3014211",
2024,"Jun-su Han 한준수","Tigers (KBO)",25,115,287,316,88,59,22,0,7,39,41,21,1,48,2,6,0,7,0,0,0.306620209,"Jun-su Han","sa3014211",
2025,"Jun-su Han 한준수","Tigers (KBO)",26,103,244,276,55,35,12,1,7,33,26,26,1,48,3,3,0,4,0,0,0.225409836,"Jun-su Han","sa3014211",
2026,"Jun-su Han 한준수","Tigers (KBO)",27,74,208,256,67,44,17,0,6,29,26,36,2,37,6,2,4,7,0,1,0.322115384,"Jun-su Han","sa3014211",
2026,"Woo-hyun Yang 양우현","Lions (KBO)",26,56,84,102,14,9,4,0,1,12,9,12,0,23,2,3,1,0,2,0,0.166666666,"Woo-hyun Yang","sa3014212",
