Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Yu-chan Lee 이유찬","- - -","—",349,800,916,198,161,28,3,6,117,66,80,0,200,9,7,20,13,44,13,0.2475,"Yu-chan Lee","sa3012635",
"Seong-yoon Kim 김성윤","- - -","—",380,976,1133,297,223,47,16,11,194,120,110,0,140,13,12,22,14,70,15,0.304303278,"Seong-yoon Kim","sa3012644",
"Min-su Kim 김민수","- - -","—",198,413,466,98,75,18,2,3,33,39,36,0,137,8,2,7,9,1,2,0.237288135,"Min-su Kim","sa3012647",
"Jeong-hun Lee 이정훈","- - -","—",270,558,644,154,122,25,0,7,64,73,70,1,139,10,5,1,12,1,2,0.275985663,"Jeong-hun Lee","sa3012655",
"Seong-han Park 박성한","- - -","—",728,2526,2938,743,573,127,8,35,371,293,354,7,416,10,18,30,33,51,25,0.294140934,"Seong-han Park","sa3012661",
"Baek-ho Kang 강백호","- - -","—",571,2084,2396,617,408,123,3,83,299,389,288,24,426,7,16,1,33,21,12,0.296065259,"Baek-ho Kang","sa3012665",
"Sung-ju Moon 문성주","- - -","—",534,1733,2028,523,421,79,11,12,254,240,236,4,195,22,20,17,39,52,31,0.301788805,"Sung-ju Moon","sa3012668",
"Min-jae Jeon 전민재","- - -","—",321,826,915,225,181,31,1,12,106,95,53,1,171,10,8,18,23,19,11,0.272397094,"Min-jae Jeon","sa3012673",
"Jae-hyun Choo 추재현","- - -","—",173,421,477,100,70,22,1,7,57,40,39,0,95,10,0,7,10,6,3,0.237529691,"Jae-hyun Choo","sa3012679",
"Dong-hui Han 한동희","- - -","—",409,1343,1500,361,253,69,0,39,138,178,126,4,253,14,14,3,59,2,3,0.268801191,"Dong-hui Han","sa3012686",
"Won-seok Lee 이원석","- - -","—",409,740,853,156,127,17,5,7,143,68,80,0,200,10,5,18,13,47,13,0.21081081,"Won-seok Lee","sa3012693",
"Eun-won Jung 정은원","- - -","—",428,1455,1746,377,295,57,8,17,212,124,265,2,303,5,7,14,23,36,20,0.259106529,"Eun-won Jung","sa3012695",
"Young-soo Oh 오영수","- - -","—",266,670,764,156,113,24,1,18,69,86,69,1,181,13,7,5,11,6,10,0.23283582,"Young-soo Oh","sa3012702",
"Hyung-jun Kim 김형준","- - -","—",325,936,1082,204,130,28,1,45,116,143,115,0,354,9,9,13,23,3,0,0.217948717,"Hyung-jun Kim","sa3012705",
"Bon-hyeok Gu 구본혁","- - -","—",447,868,1001,232,190,35,4,3,115,97,90,1,123,12,7,24,14,20,9,0.267281105,"Bon-hyeok Gu","sa3012711",
"Seung-kyu Park 박승규","- - -","—",232,468,543,121,86,13,4,18,93,49,57,1,93,9,2,7,9,13,5,0.258547008,"Seung-kyu Park","sa3012721",
"Seung-min Go 고승민","- - -","—",457,1567,1777,445,317,86,13,29,235,207,171,5,301,5,19,15,26,19,13,0.283982131,"Seung-min Go","sa3012726",
