Season,Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
2024,"ByungHo Park 박병호","Wiz (KBO)",37,121,0.132231404,0.314049586,0.421052631,0.198019801,0.330578512,0.306930693,0.637509205,0.108910892,2.669779376168826,0.283333333,0.11028359574265778,12.108950774933868,-4.245540742013877,0.3093700995129987,74.04052129890843,"ByungHo Park","18497",
2023,"Hyun Soo Kim 김현수","Twins (KBO)",35,552,0.105072463,0.096014492,1.094339622,0.293388429,0.364791288,0.38429752,0.749088808,0.090909091,2.634798242753017,0.314087759,-0.5185040978249162,71.5295031000829,6.522494070694474,0.35168435183478014,110.03352433542324,"Hyun Soo Kim","18718",
2024,"Hyun Soo Kim 김현수","Twins (KBO)",36,583,0.080617495,0.130360205,0.618421052,0.294003868,0.357388316,0.41779497,0.775183286,0.123791102,3.852891007564238,0.325791855,0.308832818409428,79.71641032423454,0.9174966516681371,0.35193582389522954,101.1643519039877,"Hyun Soo Kim","18718",
2025,"Hyun Soo Kim 김현수","Twins (KBO)",37,552,0.115942028,0.132246376,0.876712328,0.298136645,0.384057971,0.422360248,0.806418219,0.124223603,2.87912441890818,0.330827067,0.09958079038187861,84.03861374151545,16.877106731055544,0.3746869553238857,125.12913643886381,"Hyun Soo Kim","18718",
2026,"Hyun Soo Kim 김현수","Wiz (KBO)",38,369,0.08401084,0.105691056,0.794871794,0.292537313,0.352303523,0.411940298,0.764243821,0.119402985,1.6052119498073512,0.315068493,-1.269240234978497,49.13503370691386,2.363186816464335,0.35253105512479455,105.05258392297287,"Hyun Soo Kim","18718",
2023,"Guillermo Heredia 에레디아","Landers (KBO)",32,524,0.07442748,0.14312977,0.52,0.32278481,0.384321223,0.459915611,0.844236834,0.137130801,3.6963343834535536,0.363402061,-1.4184764614328742,84.07922095378574,22.36966890414889,0.3918957303714201,136.2499291619482,"Guillermo Heredia","18721",
2024,"Guillermo Heredia 에레디아","Landers (KBO)",33,591,0.047377326,0.123519458,0.383561643,0.360443622,0.399323181,0.537892791,0.937215972,0.177449169,2.739788844588051,0.381578947,-1.09681383240968,112.00947733194963,32.12927496404782,0.41322914363981106,140.22182469702693,"Guillermo Heredia","18721",
2025,"Guillermo Heredia 에레디아","Landers (KBO)",34,415,0.074698795,0.14939759,0.5,0.338666666,0.397590361,0.490666666,0.888257027,0.152,1.3463232727627428,0.377483443,-1.181461981497705,72.30323296382332,21.810433309220315,0.40231647775701074,143.19513565976735,"Guillermo Heredia","18721",
2026,"Guillermo Heredia 에레디아","Landers (KBO)",35,366,0.060109289,0.158469945,0.379310344,0.282282282,0.336065573,0.462462462,0.798528035,0.18018018,1.8160261693102744,0.299242424,-1.4840564597398043,50.695691642395474,4.304103669754485,0.3590597436852651,109.27776749589339,"Guillermo Heredia","18721",
2025,"Estevan Florial 플로리얼","Eagles (KBO)",27,285,0.084210526,0.228070175,0.369230769,0.271317829,0.333333333,0.449612403,0.782945736,0.178294574,6.400545750297296,0.331550802,1.0481184837408364,38.26109460944986,3.5853165333972017,0.3520682540462211,110.3395416983397,"Estevan Florial","19151",
2025,"Stone Garrett 스톤 개랫","Heroes (KBO)",29,93,0.05376344,0.258064516,0.208333333,0.24137931,0.279569892,0.310344827,0.589914719,0.068965517,0.14285714,0.306451612,-0.09605749323964119,6.764024913659936,-4.55122898484146,0.2747410561448784,59.77793317174943,"Stone Garrett","19273",
2023,"Jose Rojas 로하스","Bears (KBO)",30,464,0.118534482,0.146551724,0.808823529,0.253101736,0.344827586,0.473945409,0.818772995,0.220843673,2.710087565801997,0.260188087,-0.7509997354354709,68.59603706668804,13.952464259376022,0.37545873644032,125.53358710378653,"Jose Rojas","19331",
2023,"Jae-Gyun Hwang 황재균","Wiz (KBO)",35,457,0.098468271,0.140043763,0.703125,0.294840294,0.365638766,0.412776412,0.778415178,0.117936118,3.672550269130495,0.337278106,-1.048787011532113,64.18839983544386,10.369191273069744,0.3658464445709919,119.26671080837671,"Jae-Gyun Hwang","19369",
2024,"Jae-Gyun Hwang 황재균","Wiz (KBO)",36,536,0.063432835,0.177238805,0.357894736,0.259634888,0.308851224,0.383367139,0.692218363,0.123732251,2.4036066144227157,0.297157622,-2.4014993889722973,55.903837015378,-16.54250557209301,0.3142747141547122,77.16585133042464,"Jae-Gyun Hwang","19369",
2025,"Jae-Gyun Hwang 황재균","Wiz (KBO)",37,424,0.080188679,0.198113207,0.404761904,0.275324675,0.335697399,0.379220779,0.714918178,0.103896104,2.9260674474780743,0.334459459,-0.2908507608808577,49.88819940124315,-1.699624824182573,0.3312166265401795,96.70537602680113,"Jae-Gyun Hwang","19369",
2026,"Trenton Brooks 브룩스","Heroes (KBO)",30,161,0.086956521,0.149068322,0.583333333,0.216783216,0.285714285,0.258741258,0.544455543,0.041958042,2.6101591175645207,0.25409836,0.0558663047850132,9.602036135867575,-10.805192453190347,0.2629096504323971,47.05213201275187,"Trenton Brooks","19384",
2024,"David MacKinnon 맥키넌","Lions (KBO)",29,315,0.123809523,0.104761904,1.181818181,0.294117647,0.38095238,0.386029411,0.766981791,0.091911764,1.786982642678835,0.319327731,-0.056332589127123356,43.70730512859826,1.1315627497673495,0.35427945183637816,102.65776399081645,"David MacKinnon","19625",
2023,"Zach Reks 렉스","Giants (KBO)",29,234,0.119658119,0.23076923,0.518518518,0.246305418,0.337606837,0.344827586,0.682434423,0.098522168,2.909450680422023,0.31292517,-0.619389160303399,25.38728670895607,-2.1700323361107645,0.32421640152561254,92.12538660759442,"Zach Reks","19667",
2023,"Ronnie Dawson 도슨","Heroes (KBO)",28,261,0.068965517,0.157088122,0.43902439,0.336244541,0.398467432,0.454148471,0.852615903,0.11790393,6.212072771725629,0.389473684,0.7077880285214633,42.944864447425104,12.207854743312094,0.3972137931206217,139.7171190718612,"Ronnie Dawson","19710",
2024,"Ronnie Dawson 도슨","Heroes (KBO)",29,429,0.09090909,0.125874125,0.722222222,0.329842931,0.398601398,0.507853403,0.906454801,0.178010472,3.679745916480022,0.360501567,-0.882485838374123,78.67943725471589,20.695330967355698,0.4061194759704572,135.69138560969253,"Ronnie Dawson","19710",
2026,"Keston Hiura 히우라","Heroes (KBO)",29,151,0.099337748,0.331125827,0.3,0.25,0.337748344,0.416666666,0.75441501,0.166666666,1.30357142125,0.35064935,-0.14773704065009952,19.478286096600982,0.3385872335715026,0.3474573599581687,101.7690311430423,"Keston Hiura","20003",
2024,"Jared Young 제러드","Bears (KBO)",28,169,0.124260355,0.207100591,0.6,0.326388888,0.420118343,0.659722222,1.079840565,0.333333334,5.844597092785046,0.37,0.6872136713936925,39.31715886944801,16.474935180487932,0.46329501782648663,172.12491833030455,"Jared Young","20404",
2023,"Shin-Soo Choo 추신수","Landers (KBO)",40,462,0.14069264,0.17099567,0.82278481,0.2513089,0.376623376,0.395287958,0.771911334,0.143979058,3.921687666238509,0.286689419,-0.48468079580925405,66.11579603636665,11.70775587046546,0.3693001874098292,121.51842969304928,"Shin-Soo Choo","3174",
2024,"Shin-Soo Choo 추신수","Landers (KBO)",41,302,0.122516556,0.225165562,0.544117647,0.280632411,0.373333333,0.403162055,0.776495388,0.122529644,4.599266173798447,0.354838709,0.2857023039832711,42.80797606820075,1.9893278192898491,0.3577567497889201,104.87357593803446,"Shin-Soo Choo","3174",
2023,"Jung Hoo Lee 이정후","Heroes (KBO)",24,387,0.126614987,0.059431524,2.130434782,0.318181818,0.405684754,0.454545454,0.860230208,0.136363636,4.134809795843337,0.323529411,-0.41289320937357843,63.29556094855919,17.719994835564044,0.3959305215823023,138.88047115340487,"Jung Hoo Lee","33824",
2023,"Hyeseong Kim 김혜성","Heroes (KBO)",24,617,0.092382495,0.123176661,0.75,0.335144927,0.397082658,0.447463768,0.844546426,0.112318841,6.780628930304302,0.375527426,3.144823743030429,99.64351378722296,26.981693911982628,0.3932505872234071,137.13324818771392,"Hyeseong Kim","35322",
2024,"Hyeseong Kim 김혜성","Heroes (KBO)",25,567,0.082892416,0.109347442,0.758064516,0.326129666,0.382716049,0.457760314,0.840476363,0.131630648,6.555736898028599,0.349887133,2.683151022065431,90.46511168296608,13.828775401070445,0.378426294833158,118.0446718514874,"Hyeseong Kim","35322",
